Timepoints;Stimulus Type;Numbers
0;s1;3
0;s2;2
925;s2;1
1020;s1;8
1850;s2;6
2040;s1;5
2775;s2;4
3060;s1;9
3700;s2;1
4080;s1;3
4625;s2;9
5100;s1;8
5550;s2;2
6120;s1;5
6475;s2;6
7140;s1;4
7400;s2;9
8160;s1;6
8325;s2;4
9180;s1;5
9250;s2;2
10175;s2;8
10200;s1;1
11100;s2;3
11220;s1;5
12025;s2;9
12240;s1;2
12950;s2;8
13260;s1;6
13875;s2;1
14280;s1;4
14800;s2;3
15300;s1;2
15725;s2;8
16320;s1;3
16650;s2;9
17340;s1;6
17575;s2;5
18360;s1;1
18500;s2;4
19380;s1;5
19425;s2;1
20350;s2;4
20400;s1;3
21275;s2;9
21420;s1;6
22200;s2;8
22440;s1;2
23125;s2;4
23460;s1;1
24050;s2;2
24480;s1;6
24975;s2;8
25500;s1;5
25900;s2;3
26520;s1;9
26825;s2;4
27540;s1;8
27750;s2;6
28560;s1;5
28675;s2;3
29580;s1;2
29600;s2;9
30525;s2;1
30600;s1;4
31450;s2;2
31620;s1;5
32375;s2;6
32640;s1;1
33300;s2;9
33660;s1;3
34225;s2;8
34680;s1;4
35150;s2;2
35700;s1;3
36075;s2;5
36720;s1;8
37000;s2;9
37740;s1;6
37925;s2;1
38760;s1;5
38850;s2;2
39775;s2;1
39780;s1;9
40700;s2;8
40800;s1;6
41625;s2;3
41820;s1;4
42550;s2;9
42840;s1;5
43475;s2;1
43860;s1;4
44400;s2;3
44880;s1;8
45325;s2;6
45900;s1;2
46250;s2;8
46920;s1;9
47175;s2;2
47940;s1;3
48100;s2;6
48960;s1;4
49025;s2;5
49950;s2;1
49980;s1;3
50875;s2;9
51000;s1;1
51800;s2;4
52020;s1;8
52725;s2;5
53040;s1;6
53650;s2;2
54060;s1;5
54575;s2;8
55080;s1;1
55500;s2;6
56100;s1;9
56425;s2;4
57120;s1;2
57350;s2;3
58140;s1;1
58275;s2;2
59160;s1;5
59200;s2;8
60125;s2;9
60180;s1;4
61050;s2;3
61200;s1;6
61975;s2;8
62220;s1;9
62900;s2;6
63240;s1;2
63825;s2;4
64260;s1;5
64750;s2;3
65280;s1;1
65675;s2;9
66300;s1;8
66600;s2;1
67320;s1;6
67525;s2;3
68340;s1;5
68450;s2;2
69360;s1;4
69375;s2;9
70300;s2;3
70380;s1;6
71225;s2;2
71400;s1;4
72150;s2;8
72420;s1;1
73075;s2;5
73440;s1;6
74000;s2;9
74460;s1;5
74925;s2;8
75480;s1;1
75850;s2;3
76500;s1;4
76775;s2;2
77520;s1;3
77700;s2;4
78540;s1;8
78625;s2;5
79550;s2;6
79560;s1;9
80475;s2;2
80580;s1;1
81400;s2;8
81600;s1;9
82325;s2;4
82620;s1;6
83250;s2;5
83640;s1;1
84175;s2;2
84660;s1;3
85100;s2;1
85680;s1;4
86025;s2;9
86700;s1;3
86950;s2;5
87720;s1;6
87875;s2;8
88740;s1;2
88800;s2;1
89725;s2;8
89760;s1;9
90650;s2;4
90780;s1;6
91575;s2;3
91800;s1;5
92500;s2;2
92820;s1;4
93425;s2;5
93840;s1;8
94350;s2;3
94860;s1;9
95275;s2;1
95880;s1;6
96200;s2;2
96900;s1;8
97125;s2;6
97920;s1;3
98050;s2;5
98940;s1;1
98975;s2;9
99900;s2;2
99960;s1;4
100825;s2;3
100980;s1;2
101750;s2;8
102000;s1;1
102675;s2;4
103020;s1;6
103600;s2;5
104040;s1;9
104525;s2;1
105060;s1;5
105450;s2;9
106080;s1;3
106375;s2;4
107100;s1;2
107300;s2;8
108120;s1;6
108225;s2;4
109140;s1;8
109150;s2;6
110075;s2;2
110160;s1;5
111000;s2;3
111180;s1;1
111925;s2;9
112200;s1;6
112850;s2;5
113220;s1;1
113775;s2;3
114240;s1;2
114700;s2;9
115260;s1;4
115625;s2;8
116280;s1;3
116550;s2;9
117300;s1;8
117475;s2;5
118320;s1;1
118400;s2;2
119325;s2;6
119340;s1;4
120250;s2;8
120360;s1;5
121175;s2;4
121380;s1;3
122100;s2;6
122400;s1;9
123025;s2;1
123420;s1;2
123950;s2;6
124440;s1;9
124875;s2;8
125460;s1;4
125800;s2;5
126480;s1;2
126725;s2;3
127500;s1;1
127650;s2;9
128520;s1;3
128575;s2;8
129500;s2;6
129540;s1;2
130425;s2;5
130560;s1;4
131350;s2;1
131580;s1;6
132275;s2;4
132600;s1;1
133200;s2;8
133620;s1;2
134125;s2;3
134640;s1;5
135050;s2;9
135660;s1;8
135975;s2;4
136680;s1;9
136900;s2;2
137700;s1;1
137825;s2;6
138720;s1;5
138750;s2;3
139675;s2;9
139740;s1;2
140600;s2;5
140760;s1;8
141525;s2;4
141780;s1;6
142450;s2;1
142800;s1;3
143375;s2;9
143820;s1;1
144300;s2;3
144840;s1;6
145225;s2;4
145860;s1;2
146150;s2;8
146880;s1;5
147075;s2;6
147900;s1;8
148000;s2;5
148920;s1;2
148925;s2;9
149850;s2;3
149940;s1;4
150775;s2;1
150960;s1;2
151700;s2;8
151980;s1;1
152625;s2;9
153000;s1;3
153550;s2;5
154020;s1;6
154475;s2;4
155040;s1;1
155400;s2;5
156060;s1;4
156325;s2;9
157080;s1;2
157250;s2;3
158100;s1;6
158175;s2;8
159100;s2;5
159120;s1;2
160025;s2;9
160140;s1;8
160950;s2;4
161160;s1;6
161875;s2;1
162180;s1;3
162800;s2;2
163200;s1;1
163725;s2;8
164220;s1;9
164650;s2;3
165240;s1;5
165575;s2;4
166260;s1;6
166500;s2;3
167280;s1;5
167425;s2;9
168300;s1;1
168350;s2;4
169275;s2;2
169320;s1;6
170200;s2;8
170340;s1;3
171125;s2;1
171360;s1;4
172050;s2;8
172380;s1;2
172975;s2;9
173400;s1;6
173900;s2;5
174420;s1;1
174825;s2;2
175440;s1;6
175750;s2;4
176460;s1;5
176675;s2;3
177480;s1;8
177600;s2;9
178500;s1;5
178525;s2;1
179450;s2;9
179520;s1;3
180375;s2;6
180540;s1;2
181300;s2;4
181560;s1;8
182225;s2;6
182580;s1;4
183150;s2;8
183600;s1;5
184075;s2;2
184620;s1;3
185000;s2;9
185640;s1;1
185925;s2;6
186660;s1;8
186850;s2;2
187680;s1;1
187775;s2;9
188700;s1;4
188700;s2;5
189625;s2;3
189720;s1;1
190550;s2;9
190740;s1;8
191475;s2;5
191760;s1;6
192400;s2;3
192780;s1;4
193325;s2;2
193800;s1;6
194250;s2;5
194820;s1;2
195175;s2;8
195840;s1;4
196100;s2;1
196860;s1;3
197025;s2;9
197880;s1;8
197950;s2;1
198875;s2;9
198900;s1;6
199800;s2;4
199920;s1;3
200725;s2;5
200940;s1;2
201650;s2;1
201960;s1;6
202575;s2;3
202980;s1;4
203500;s2;5
204000;s1;2
204425;s2;9
205020;s1;8
205350;s2;5
206040;s1;3
206275;s2;1
207060;s1;9
207200;s2;8
208080;s1;4
208125;s2;6
209050;s2;2
209100;s1;5
209975;s2;3
210120;s1;9
210900;s2;6
211140;s1;2
211825;s2;4
212160;s1;1
212750;s2;8
213180;s1;2
213675;s2;4
214200;s1;9
214600;s2;6
215220;s1;1
215525;s2;5
216240;s1;3
216450;s2;8
217260;s1;1
217375;s2;3
218280;s1;8
218300;s2;4
219225;s2;9
219300;s1;6
220150;s2;2
220320;s1;5
221075;s2;8
221340;s1;1
222000;s2;6
222360;s1;4
222925;s2;3
223380;s1;5
223850;s2;9
224400;s1;2
224775;s2;6
225420;s1;3
225700;s2;2
226440;s1;1
226625;s2;9
227460;s1;5
227550;s2;8
228475;s2;4
228480;s1;9
229400;s2;8
229500;s1;2
230325;s2;5
230520;s1;4
231250;s2;3
231540;s1;1
232175;s2;6
232560;s1;2
233100;s2;1
233580;s1;9
234025;s2;3
234600;s1;4
234950;s2;5
235620;s1;6
235875;s2;8
236640;s1;1
236800;s2;2
237660;s1;9
237725;s2;3
238650;s2;4
238680;s1;8
239575;s2;5
239700;s1;6
240500;s2;3
240720;s1;2
241425;s2;8
241740;s1;4
242350;s2;1
242760;s1;5
243275;s2;6
243780;s1;9
244200;s2;1
244800;s1;5
245125;s2;2
245820;s1;9
246050;s2;3
246840;s1;6
246975;s2;8
247860;s1;4
247900;s2;1
248825;s2;5
248880;s1;3
249750;s2;9
249900;s1;6
250675;s2;2
250920;s1;4
251600;s2;8
251940;s1;1
252525;s2;4
252960;s1;3
253450;s2;6
253980;s1;2
254375;s2;9
255000;s1;5
255300;s2;8
256020;s1;4
256225;s2;5
257040;s1;9
257150;s2;1
258060;s1;3
258075;s2;8
259000;s2;6
259080;s1;2
259925;s2;9
260100;s1;8
260850;s2;2
261120;s1;5
261775;s2;3
262140;s1;4
262700;s2;1
263160;s1;6
263625;s2;2
264180;s1;9
264550;s2;5
265200;s1;1
265475;s2;4
266220;s1;3
266400;s2;6
267240;s1;8
267325;s2;9
268250;s2;4
268260;s1;3
269175;s2;1
269280;s1;2
270100;s2;6
270300;s1;8
271025;s2;5
271320;s1;6
271950;s2;8
272340;s1;4
272875;s2;1
273360;s1;5
273800;s2;9
274380;s1;2
274725;s2;3
275400;s1;6
275650;s2;2
276420;s1;8
276575;s2;1
277440;s1;3
277500;s2;4
278425;s2;5
278460;s1;9
279350;s2;6
279480;s1;3
280275;s2;9
280500;s1;2
281200;s2;8
281520;s1;4
282125;s2;5
282540;s1;1
283050;s2;8
283560;s1;4
283975;s2;9
284580;s1;2
284900;s2;6
285600;s1;5
285825;s2;3
286620;s1;1
286750;s2;6
287640;s1;8
287675;s2;1
288600;s2;9
288660;s1;3
289525;s2;2
289680;s1;4
290450;s2;5
290700;s1;2
291375;s2;4
291720;s1;5
292300;s2;9
292740;s1;3
293225;s2;8
293760;s1;1
294150;s2;6
294780;s1;2
295075;s2;4
295800;s1;5
296000;s2;3
296820;s1;6
296925;s2;1
297840;s1;9
297850;s2;8
298775;s2;3
298860;s1;1
