Timepoints;Stimulus Type;Numbers
1;s1;4
986;s1;1
1970;s2;2
1971;s1;5
2895;s2;3
2956;s1;8
3820;s2;9
3941;s1;6
4745;s2;8
4926;s1;9
5670;s2;6
5911;s1;1
6595;s2;2
6896;s1;5
7520;s2;4
7881;s1;3
8445;s2;5
8866;s1;2
9370;s2;1
9851;s1;6
10295;s2;4
10836;s1;9
11220;s2;8
11821;s1;3
12145;s2;2
12806;s1;1
13070;s2;3
13791;s1;6
13995;s2;9
14776;s1;4
14920;s2;5
15761;s1;8
15845;s2;1
16746;s1;5
16770;s2;3
17695;s2;9
17731;s1;4
18620;s2;6
18716;s1;8
19545;s2;2
19701;s1;5
20470;s2;6
20686;s1;2
21395;s2;8
21671;s1;4
22320;s2;3
22656;s1;9
23245;s2;1
23641;s1;8
24170;s2;4
24626;s1;3
25095;s2;5
25611;s1;9
26020;s2;1
26596;s1;2
26945;s2;6
27581;s1;3
27870;s2;4
28566;s1;2
28795;s2;1
29551;s1;9
29720;s2;8
30536;s1;6
30645;s2;5
31521;s1;2
31570;s2;3
32495;s2;1
32506;s1;9
33420;s2;5
33491;s1;4
34345;s2;8
34476;s1;6
35270;s2;5
35461;s1;3
36195;s2;6
36446;s1;8
37120;s2;2
37431;s1;1
38045;s2;9
38416;s1;4
38970;s2;5
39401;s1;8
39895;s2;4
40386;s1;2
40820;s2;6
41371;s1;3
41745;s2;9
42356;s1;1
42670;s2;4
43341;s1;6
43595;s2;8
44326;s1;1
44520;s2;2
45311;s1;9
45445;s2;3
46296;s1;5
46370;s2;2
47281;s1;6
47295;s2;9
48220;s2;8
48266;s1;4
49145;s2;3
49251;s1;5
50070;s2;1
50236;s1;6
50995;s2;4
51221;s1;5
51920;s2;3
52206;s1;2
52845;s2;1
53191;s1;8
53770;s2;9
54176;s1;4
54695;s2;5
55161;s1;9
55620;s2;8
56146;s1;1
56545;s2;3
57131;s1;6
57470;s2;2
58116;s1;9
58395;s2;6
59101;s1;2
59320;s2;3
60086;s1;8
60245;s2;5
61071;s1;4
61170;s2;1
62056;s1;9
62095;s2;6
63020;s2;4
63041;s1;8
63945;s2;3
64026;s1;2
64870;s2;1
65011;s1;5
65795;s2;8
65996;s1;1
66720;s2;5
66981;s1;4
67645;s2;6
67966;s1;3
68570;s2;9
68951;s1;2
69495;s2;1
69936;s1;9
70420;s2;2
70921;s1;3
71345;s2;5
71906;s1;8
72270;s2;6
72891;s1;4
73195;s2;3
73876;s1;9
74120;s2;6
74861;s1;1
75045;s2;4
75846;s1;5
75970;s2;8
76831;s1;2
76895;s2;6
77816;s1;1
77820;s2;8
78745;s2;5
78801;s1;3
79670;s2;4
79786;s1;2
80595;s2;9
80771;s1;4
81520;s2;6
81756;s1;2
82445;s2;8
82741;s1;1
83370;s2;5
83726;s1;9
84295;s2;3
84711;s1;8
85220;s2;6
85696;s1;4
86145;s2;1
86681;s1;2
87070;s2;5
87666;s1;3
87995;s2;9
88651;s1;4
88920;s2;6
89636;s1;9
89845;s2;3
90621;s1;2
90770;s2;1
91606;s1;5
91695;s2;8
92591;s1;3
92620;s2;5
93545;s2;2
93576;s1;9
94470;s2;4
94561;s1;6
95395;s2;1
95546;s1;8
96320;s2;2
96531;s1;5
97245;s2;1
97516;s1;8
98170;s2;3
98501;s1;6
99095;s2;9
99486;s1;4
100020;s2;5
100471;s1;6
100945;s2;8
101456;s1;4
101870;s2;3
102441;s1;2
102795;s2;1
103426;s1;9
103720;s2;6
104411;s1;1
104645;s2;5
105396;s1;2
105570;s2;3
106381;s1;8
106495;s2;9
107366;s1;4
107420;s2;8
108345;s2;6
108351;s1;3
109270;s2;4
109336;s1;9
110195;s2;1
110321;s1;5
111120;s2;2
111306;s1;4
112045;s2;8
112291;s1;2
112970;s2;1
113276;s1;5
113895;s2;3
114261;s1;9
114820;s2;6
115246;s1;8
115745;s2;2
116231;s1;6
116670;s2;5
117216;s1;4
117595;s2;3
118201;s1;1
118520;s2;9
