Timepoints;Stimulus Type;Numbers
1;s1;6
986;s1;5
1970;s2;3
1971;s1;1
2895;s2;4
2956;s1;8
3820;s2;9
3941;s1;2
4745;s2;5
4926;s1;3
5670;s2;1
5911;s1;6
6595;s2;4
6896;s1;9
7520;s2;2
7881;s1;8
8445;s2;4
8866;s1;2
9370;s2;8
9851;s1;9
10295;s2;3
10836;s1;5
11220;s2;1
11821;s1;6
12145;s2;9
12806;s1;1
13070;s2;6
13791;s1;2
13995;s2;8
14776;s1;3
14920;s2;5
15761;s1;4
15845;s2;6
16746;s1;1
16770;s2;9
17695;s2;4
17731;s1;2
18620;s2;5
18716;s1;8
19545;s2;3
19701;s1;5
20470;s2;4
20686;s1;6
21395;s2;8
21671;s1;2
22320;s2;9
22656;s1;1
23245;s2;3
23641;s1;5
24170;s2;2
24626;s1;6
25095;s2;9
25611;s1;8
26020;s2;1
26596;s1;4
26945;s2;3
27581;s1;2
27870;s2;9
28566;s1;3
28795;s2;4
29551;s1;1
29720;s2;8
30536;s1;6
30645;s2;5
31521;s1;9
31570;s2;6
32495;s2;2
32506;s1;1
33420;s2;3
33491;s1;5
34345;s2;8
34476;s1;4
35270;s2;2
35461;s1;9
36195;s2;4
36446;s1;8
37120;s2;6
37431;s1;3
38045;s2;1
38416;s1;5
38970;s2;8
39401;s1;3
39895;s2;1
40386;s1;5
40820;s2;6
41371;s1;9
41745;s2;2
42356;s1;4
42670;s2;9
43341;s1;2
43595;s2;4
44326;s1;8
44520;s2;1
45311;s1;6
45445;s2;3
46296;s1;5
46370;s2;6
47281;s1;2
47295;s2;9
48220;s2;3
48266;s1;1
49145;s2;4
49251;s1;8
50070;s2;5
50236;s1;1
50995;s2;3
51221;s1;8
51920;s2;4
52206;s1;6
52845;s2;2
53191;s1;5
53770;s2;9
54176;s1;8
54695;s2;5
55161;s1;9
55620;s2;4
56146;s1;2
56545;s2;1
57131;s1;6
57470;s2;3
58116;s1;2
58395;s2;5
59101;s1;3
59320;s2;8
60086;s1;6
60245;s2;9
61071;s1;4
61170;s2;1
62056;s1;5
62095;s2;4
63020;s2;3
63041;s1;1
63945;s2;9
64026;s1;2
64870;s2;8
65011;s1;6
65795;s2;5
65996;s1;8
66720;s2;6
66981;s1;2
67645;s2;4
67966;s1;1
68570;s2;9
68951;s1;3
69495;s2;2
69936;s1;6
70420;s2;5
70921;s1;9
71345;s2;8
71906;s1;3
72270;s2;4
72891;s1;1
73195;s2;9
73876;s1;4
74120;s2;1
74861;s1;6
75045;s2;3
75846;s1;2
75970;s2;5
76831;s1;8
76895;s2;9
77816;s1;5
77820;s2;8
78745;s2;6
78801;s1;3
79670;s2;4
79786;s1;2
80595;s2;1
80771;s1;8
81520;s2;2
81756;s1;1
82445;s2;9
82741;s1;5
83370;s2;6
83726;s1;3
84295;s2;4
84711;s1;2
85220;s2;8
85696;s1;1
86145;s2;5
86681;s1;9
87070;s2;6
87666;s1;4
87995;s2;3
88651;s1;5
88920;s2;8
89636;s1;2
89845;s2;4
90621;s1;3
90770;s2;1
91606;s1;6
91695;s2;9
92591;s1;2
92620;s2;8
93545;s2;3
93576;s1;4
94470;s2;1
94561;s1;6
95395;s2;5
95546;s1;9
96320;s2;2
96531;s1;5
97245;s2;9
97516;s1;8
98170;s2;1
98501;s1;4
99095;s2;3
99486;s1;6
100020;s2;9
100471;s1;4
100945;s2;6
101456;s1;3
101870;s2;2
102441;s1;1
102795;s2;8
103426;s1;5
103720;s2;3
104411;s1;6
104645;s2;1
105396;s1;8
105570;s2;2
106381;s1;4
106495;s2;9
107366;s1;5
107420;s2;1
108345;s2;9
108351;s1;3
109270;s2;4
109336;s1;5
110195;s2;8
110321;s1;6
111120;s2;2
111306;s1;3
112045;s2;9
112291;s1;4
112970;s2;5
113276;s1;1
113895;s2;6
114261;s1;8
114820;s2;2
115246;s1;5
115745;s2;1
116231;s1;2
116670;s2;3
117216;s1;6
117595;s2;4
118201;s1;9
118520;s2;8
