Timepoints;Stimulus Type;Numbers
1;s2;5
926;s2;1
1851;s2;9
1970;s1;6
2776;s2;3
2955;s1;4
3701;s2;8
3940;s1;2
4626;s2;6
4925;s1;8
5551;s2;2
5910;s1;3
6476;s2;1
6895;s1;4
7401;s2;5
7880;s1;9
8326;s2;6
8865;s1;1
9251;s2;8
9850;s1;2
10176;s2;3
10835;s1;5
11101;s2;4
11820;s1;9
12026;s2;8
12805;s1;4
12951;s2;5
13790;s1;9
13876;s2;1
14775;s1;2
14801;s2;6
15726;s2;3
15760;s1;4
16651;s2;2
16745;s1;5
17576;s2;3
17730;s1;6
18501;s2;9
18715;s1;1
19426;s2;8
19700;s1;3
20351;s2;5
20685;s1;6
21276;s2;9
21670;s1;4
22201;s2;8
22655;s1;1
23126;s2;2
23640;s1;6
24051;s2;8
24625;s1;5
24976;s2;2
25610;s1;1
25901;s2;4
26595;s1;3
26826;s2;9
27580;s1;8
27751;s2;2
28565;s1;5
28676;s2;3
29550;s1;1
29601;s2;4
30526;s2;9
30535;s1;6
31451;s2;2
31520;s1;1
32376;s2;4
32505;s1;5
33301;s2;8
33490;s1;6
34226;s2;3
34475;s1;9
35151;s2;1
35460;s1;3
36076;s2;9
36445;s1;2
37001;s2;5
37430;s1;6
37926;s2;8
38415;s1;4
38851;s2;2
39400;s1;9
39776;s2;1
40385;s1;6
40701;s2;3
41370;s1;8
41626;s2;4
42355;s1;5
42551;s2;2
43340;s1;4
43476;s2;5
44325;s1;9
44401;s2;3
45310;s1;1
45326;s2;8
46251;s2;6
46295;s1;4
47176;s2;3
47280;s1;6
48101;s2;1
48265;s1;2
49026;s2;8
49250;s1;9
49951;s2;5
50235;s1;6
50876;s2;2
51220;s1;5
51801;s2;4
52205;s1;3
52726;s2;8
53190;s1;9
53651;s2;1
54175;s1;4
54576;s2;9
55160;s1;8
55501;s2;6
56145;s1;3
56426;s2;2
57130;s1;1
57351;s2;5
58115;s1;3
58276;s2;1
59100;s1;9
59201;s2;2
60085;s1;8
60126;s2;6
61051;s2;4
61070;s1;5
61976;s2;9
62055;s1;8
62901;s2;3
63040;s1;1
63826;s2;4
64025;s1;6
64751;s2;2
65010;s1;5
65676;s2;6
65995;s1;2
66601;s2;9
66980;s1;4
67526;s2;1
67965;s1;5
68451;s2;3
68950;s1;8
69376;s2;5
69935;s1;9
70301;s2;8
70920;s1;4
71226;s2;3
71905;s1;2
72151;s2;6
72890;s1;1
73076;s2;4
73875;s1;3
74001;s2;1
74860;s1;8
74926;s2;6
75845;s1;2
75851;s2;9
76776;s2;5
76830;s1;4
77701;s2;9
77815;s1;1
78626;s2;5
78800;s1;6
79551;s2;3
79785;s1;2
80476;s2;8
80770;s1;1
81401;s2;6
81755;s1;2
82326;s2;5
82740;s1;3
83251;s2;8
83725;s1;4
84176;s2;9
84710;s1;6
85101;s2;1
85695;s1;2
86026;s2;4
86680;s1;8
86951;s2;9
87665;s1;3
87876;s2;5
88650;s1;8
88801;s2;3
89635;s1;2
89726;s2;1
90620;s1;4
90651;s2;5
91576;s2;9
91605;s1;6
92501;s2;8
92590;s1;1
93426;s2;3
93575;s1;2
94351;s2;4
94560;s1;9
95276;s2;6
95545;s1;5
96201;s2;2
96530;s1;6
97126;s2;3
97515;s1;9
98051;s2;8
98500;s1;1
98976;s2;5
99485;s1;4
99901;s2;6
100470;s1;3
100826;s2;9
101455;s1;2
101751;s2;1
102440;s1;8
102676;s2;5
103425;s1;4
103601;s2;2
104410;s1;5
104526;s2;4
105395;s1;6
105451;s2;1
106376;s2;9
106380;s1;8
107301;s2;3
107365;s1;9
108226;s2;5
108350;s1;6
109151;s2;3
109335;s1;8
110076;s2;1
110320;s1;4
111001;s2;2
111305;s1;8
111926;s2;9
112290;s1;2
112851;s2;5
113275;s1;3
113776;s2;6
114260;s1;1
114701;s2;4
115245;s1;5
115626;s2;3
116230;s1;4
116551;s2;1
117215;s1;6
117476;s2;8
118200;s1;9
118401;s2;2
