Timepoints;Stimulus Type;Numbers
0;s1;9
0;s2;3
925;s2;2
1020;s1;6
1850;s2;8
2040;s1;4
2775;s2;5
3060;s1;1
3700;s2;2
4080;s1;5
4625;s2;1
5100;s1;4
5550;s2;9
6120;s1;3
6475;s2;8
7140;s1;6
7400;s2;5
8160;s1;1
8325;s2;4
9180;s1;9
9250;s2;8
10175;s2;3
10200;s1;2
11100;s2;6
11220;s1;9
12025;s2;4
12240;s1;8
12950;s2;3
13260;s1;2
13875;s2;1
14280;s1;6
14800;s2;5
15300;s1;1
15725;s2;2
16320;s1;9
16650;s2;3
17340;s1;6
17575;s2;8
18360;s1;5
18500;s2;4
19380;s1;9
19425;s2;5
20350;s2;8
20400;s1;1
21275;s2;6
21420;s1;4
22200;s2;2
22440;s1;3
23125;s2;6
23460;s1;9
24050;s2;4
24480;s1;2
24975;s2;5
25500;s1;1
25900;s2;8
26520;s1;3
26825;s2;2
27540;s1;8
27750;s2;6
28560;s1;3
28675;s2;9
29580;s1;4
29600;s2;5
30525;s2;1
30600;s1;8
31450;s2;2
31620;s1;1
32375;s2;9
32640;s1;6
33300;s2;3
33660;s1;5
34225;s2;4
34680;s1;3
35150;s2;1
35700;s1;2
36075;s2;8
36720;s1;5
37000;s2;6
37740;s1;4
37925;s2;9
38760;s1;8
38850;s2;4
39775;s2;6
39780;s1;9
40700;s2;2
40800;s1;3
41625;s2;5
41820;s1;1
42550;s2;9
42840;s1;8
43475;s2;1
43860;s1;5
44400;s2;2
44880;s1;3
45325;s2;6
45900;s1;4
46250;s2;1
46920;s1;5
47175;s2;8
47940;s1;2
48100;s2;3
48960;s1;6
49025;s2;9
49950;s2;4
49980;s1;1
50875;s2;6
51000;s1;5
51800;s2;4
52020;s1;8
52725;s2;2
53040;s1;3
53650;s2;9
54060;s1;6
54575;s2;4
55080;s1;9
55500;s2;5
56100;s1;3
56425;s2;8
57120;s1;2
57350;s2;1
58140;s1;5
58275;s2;3
59160;s1;2
59200;s2;9
60125;s2;4
60180;s1;6
61050;s2;1
61200;s1;8
61975;s2;6
62220;s1;2
62900;s2;9
63240;s1;5
63825;s2;8
64260;s1;3
64750;s2;4
65280;s1;1
65675;s2;2
66300;s1;9
66600;s2;3
67320;s1;8
67525;s2;5
68340;s1;6
68450;s2;4
69360;s1;1
69375;s2;3
70300;s2;4
70380;s1;2
71225;s2;6
71400;s1;8
72150;s2;5
72420;s1;1
73075;s2;9
73440;s1;8
74000;s2;5
74460;s1;3
74925;s2;4
75480;s1;6
75850;s2;2
76500;s1;9
76775;s2;1
77520;s1;4
77700;s2;2
78540;s1;1
78625;s2;8
79550;s2;9
79560;s1;6
80475;s2;5
80580;s1;3
81400;s2;9
81600;s1;5
82325;s2;2
82620;s1;1
83250;s2;6
83640;s1;4
84175;s2;8
84660;s1;3
85100;s2;9
85680;s1;1
86025;s2;2
86700;s1;6
86950;s2;4
87720;s1;8
87875;s2;5
88740;s1;3
88800;s2;6
89725;s2;5
89760;s1;1
90650;s2;9
90780;s1;3
91575;s2;8
91800;s1;2
92500;s2;4
92820;s1;5
93425;s2;9
93840;s1;4
94350;s2;3
94860;s1;1
95275;s2;8
95880;s1;2
96200;s2;6
96900;s1;4
97125;s2;1
97920;s1;6
98050;s2;2
98940;s1;9
98975;s2;3
99900;s2;5
99960;s1;8
100825;s2;1
100980;s1;4
101750;s2;8
102000;s1;9
102675;s2;6
103020;s1;2
103600;s2;3
104040;s1;5
104525;s2;9
105060;s1;3
105450;s2;1
106080;s1;8
106375;s2;4
107100;s1;5
107300;s2;6
108120;s1;2
108225;s2;9
109140;s1;8
109150;s2;4
110075;s2;5
110160;s1;3
111000;s2;6
111180;s1;1
111925;s2;2
112200;s1;6
112850;s2;4
113220;s1;1
113775;s2;2
114240;s1;3
114700;s2;8
115260;s1;5
115625;s2;9
116280;s1;3
116550;s2;1
117300;s1;4
117475;s2;5
118320;s1;2
118400;s2;6
119325;s2;9
119340;s1;8
120250;s2;1
120360;s1;4
121175;s2;8
121380;s1;6
122100;s2;5
122400;s1;3
123025;s2;2
123420;s1;9
123950;s2;4
124440;s1;1
124875;s2;9
125460;s1;3
125800;s2;8
126480;s1;6
126725;s2;2
127500;s1;5
127650;s2;6
128520;s1;4
128575;s2;5
129500;s2;8
129540;s1;2
130425;s2;1
130560;s1;9
131350;s2;3
131580;s1;6
132275;s2;2
132600;s1;9
133200;s2;3
133620;s1;5
134125;s2;4
134640;s1;1
135050;s2;8
135660;s1;4
135975;s2;1
136680;s1;8
136900;s2;9
137700;s1;5
137825;s2;3
138720;s1;2
138750;s2;6
139675;s2;9
139740;s1;8
140600;s2;2
140760;s1;5
141525;s2;4
141780;s1;1
142450;s2;3
142800;s1;6
143375;s2;4
143820;s1;9
144300;s2;6
144840;s1;2
145225;s2;3
145860;s1;1
146150;s2;5
146880;s1;8
147075;s2;6
147900;s1;2
148000;s2;8
148920;s1;4
148925;s2;5
149850;s2;1
149940;s1;9
150775;s2;3
150960;s1;6
151700;s2;5
151980;s1;9
152625;s2;2
153000;s1;3
153550;s2;8
154020;s1;1
154475;s2;4
155040;s1;2
155400;s2;9
156060;s1;4
156325;s2;8
157080;s1;6
157250;s2;1
158100;s1;5
158175;s2;3
159100;s2;2
159120;s1;6
160025;s2;1
160140;s1;5
160950;s2;4
161160;s1;3
161875;s2;9
162180;s1;8
162800;s2;6
163200;s1;9
163725;s2;8
164220;s1;3
164650;s2;5
165240;s1;2
165575;s2;1
166260;s1;4
166500;s2;2
167280;s1;8
167425;s2;3
168300;s1;6
168350;s2;9
169275;s2;1
169320;s1;4
170200;s2;5
170340;s1;8
171125;s2;2
171360;s1;1
172050;s2;3
172380;s1;6
172975;s2;4
173400;s1;9
173900;s2;5
174420;s1;3
174825;s2;8
175440;s1;4
175750;s2;5
176460;s1;1
176675;s2;9
177480;s1;2
177600;s2;6
178500;s1;1
178525;s2;2
179450;s2;8
179520;s1;9
180375;s2;5
180540;s1;6
181300;s2;3
181560;s1;4
182225;s2;8
182580;s1;3
183150;s2;9
183600;s1;6
184075;s2;5
184620;s1;4
185000;s2;1
185640;s1;2
185925;s2;9
186660;s1;6
186850;s2;5
187680;s1;3
187775;s2;4
188700;s1;1
188700;s2;2
189625;s2;8
189720;s1;3
190550;s2;1
190740;s1;9
191475;s2;6
191760;s1;8
192400;s2;2
192780;s1;5
193325;s2;4
193800;s1;1
194250;s2;5
194820;s1;9
195175;s2;6
195840;s1;3
196100;s2;2
196860;s1;4
197025;s2;8
197880;s1;6
197950;s2;5
198875;s2;8
198900;s1;4
199800;s2;9
199920;s1;3
200725;s2;2
200940;s1;1
201650;s2;6
201960;s1;2
202575;s2;3
202980;s1;9
203500;s2;1
204000;s1;8
204425;s2;5
205020;s1;4
205350;s2;6
206040;s1;3
206275;s2;4
207060;s1;2
207200;s2;8
208080;s1;5
208125;s2;1
209050;s2;9
209100;s1;3
209975;s2;1
210120;s1;9
210900;s2;5
211140;s1;8
211825;s2;2
212160;s1;4
212750;s2;6
213180;s1;3
213675;s2;1
214200;s1;8
214600;s2;2
215220;s1;4
215525;s2;9
216240;s1;6
216450;s2;5
217260;s1;9
217375;s2;8
218280;s1;2
218300;s2;5
219225;s2;3
219300;s1;1
220150;s2;6
220320;s1;4
221075;s2;2
221340;s1;6
222000;s2;3
222360;s1;9
222925;s2;4
223380;s1;8
223850;s2;1
224400;s1;5
224775;s2;8
225420;s1;6
225700;s2;5
226440;s1;2
226625;s2;4
227460;s1;3
227550;s2;9
228475;s2;1
228480;s1;4
229400;s2;3
229500;s1;6
230325;s2;5
230520;s1;1
231250;s2;8
231540;s1;9
232175;s2;2
232560;s1;6
233100;s2;1
233580;s1;8
234025;s2;5
234600;s1;4
234950;s2;2
235620;s1;3
235875;s2;9
236640;s1;6
236800;s2;2
237660;s1;3
237725;s2;8
238650;s2;9
238680;s1;5
239575;s2;1
239700;s1;4
240500;s2;6
240720;s1;1
241425;s2;2
241740;s1;8
242350;s2;3
242760;s1;9
243275;s2;4
243780;s1;5
244200;s2;3
244800;s1;8
245125;s2;6
245820;s1;4
246050;s2;5
246840;s1;1
246975;s2;2
247860;s1;9
247900;s2;5
248825;s2;4
248880;s1;6
249750;s2;1
249900;s1;8
250675;s2;2
250920;s1;3
251600;s2;9
251940;s1;6
252525;s2;5
252960;s1;4
253450;s2;2
253980;s1;9
254375;s2;8
255000;s1;1
255300;s2;3
256020;s1;8
256225;s2;6
257040;s1;4
257150;s2;9
258060;s1;5
258075;s2;3
259000;s2;2
259080;s1;1
259925;s2;5
260100;s1;3
260850;s2;1
261120;s1;8
261775;s2;9
262140;s1;2
262700;s2;6
263160;s1;4
263625;s2;3
264180;s1;1
264550;s2;4
265200;s1;9
265475;s2;8
266220;s1;5
266400;s2;6
267240;s1;2
267325;s2;3
268250;s2;5
268260;s1;6
269175;s2;2
269280;s1;9
270100;s2;4
270300;s1;1
271025;s2;8
271320;s1;5
271950;s2;1
272340;s1;8
272875;s2;2
273360;s1;4
273800;s2;9
274380;s1;6
274725;s2;3
275400;s1;5
275650;s2;2
276420;s1;3
276575;s2;6
277440;s1;9
277500;s2;4
278425;s2;8
278460;s1;1
279350;s2;9
279480;s1;6
280275;s2;1
280500;s1;3
281200;s2;2
281520;s1;4
282125;s2;8
282540;s1;5
283050;s2;1
283560;s1;2
283975;s2;5
284580;s1;3
284900;s2;8
285600;s1;6
285825;s2;9
286620;s1;4
286750;s2;1
287640;s1;5
287675;s2;8
288600;s2;2
288660;s1;3
289525;s2;4
289680;s1;6
290450;s2;9
290700;s1;5
291375;s2;8
291720;s1;9
292300;s2;2
292740;s1;3
293225;s2;4
293760;s1;6
294150;s2;1
294780;s1;3
295075;s2;2
295800;s1;8
296000;s2;1
296820;s1;6
296925;s2;5
297840;s1;9
297850;s2;4
298775;s2;2
298860;s1;1
