0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
cat,dog,pig,frog,turtle,sheep,monkey,,,
sheep,kitten,turtle,kookaburra,pig,cat,dog,,,
kookaburra,turtle,monkey,cat,pig,frog,kitten,,,
dog,turtle,sheep,frog,monkey,cat,kitten,,,
pig,monkey,sheep,kookaburra,kitten,turtle,dog,,,
cat,kitten,turtle,dog,monkey,pig,kookaburra,,,
frog,monkey,turtle,kookaburra,kitten,sheep,dog,,,
kookaburra,pig,dog,turtle,monkey,sheep,cat,,,
monkey,turtle,frog,kookaburra,sheep,dog,cat,,,
pig,kookaburra,sheep,frog,cat,monkey,dog,,,
pig,dog,frog,kookaburra,monkey,turtle,sheep,,,
cat,kitten,kookaburra,turtle,frog,dog,pig,,,
cat,turtle,kitten,kookaburra,pig,frog,monkey,,,
