0,1,2,3,4,5,6,7,8,9
sheep,pig,frog,cat,kookaburra,dog,monkey,,,
frog,kookaburra,monkey,sheep,kitten,cat,dog,,,
kookaburra,turtle,monkey,pig,frog,sheep,dog,,,
kitten,dog,monkey,frog,cat,kookaburra,turtle,,,
monkey,frog,cat,dog,kookaburra,sheep,pig,,,
kookaburra,kitten,turtle,sheep,pig,frog,monkey,,,
cat,frog,sheep,kookaburra,kitten,dog,turtle,,,
cat,pig,dog,kitten,kookaburra,turtle,sheep,,,
kookaburra,frog,dog,monkey,kitten,pig,turtle,,,
kookaburra,dog,cat,turtle,monkey,pig,frog,,,
kitten,sheep,pig,monkey,cat,dog,frog,,,
pig,monkey,sheep,dog,kitten,cat,kookaburra,,,
kitten,frog,turtle,monkey,cat,sheep,kookaburra,,,
frog,pig,dog,cat,kitten,kookaburra,monkey,,,
turtle,frog,pig,kitten,sheep,kookaburra,cat,,,
cat,monkey,pig,frog,turtle,kitten,sheep,,,
cat,frog,dog,monkey,pig,turtle,sheep,,,
sheep,turtle,kookaburra,monkey,kitten,pig,cat,,,
cat,monkey,pig,sheep,kookaburra,dog,turtle,,,
cat,dog,turtle,sheep,frog,monkey,kitten,,,
