0,1,2,3,4,5,6,7,8,9
kitten,monkey,turtle,cat,sheep,frog,dog,,,
dog,kitten,monkey,sheep,frog,cat,turtle,,,
frog,cat,monkey,kitten,dog,turtle,sheep,,,
cat,kookaburra,monkey,turtle,kitten,dog,pig,,,
dog,sheep,kitten,monkey,kookaburra,frog,cat,,,
monkey,kookaburra,cat,turtle,pig,dog,frog,,,
frog,dog,turtle,pig,cat,sheep,monkey,,,
dog,kitten,sheep,turtle,cat,kookaburra,monkey,,,
sheep,dog,pig,monkey,cat,kookaburra,kitten,,,
kookaburra,frog,dog,cat,sheep,kitten,pig,,,
pig,cat,kitten,dog,kookaburra,sheep,monkey,,,
turtle,monkey,frog,kookaburra,pig,cat,sheep,,,
pig,cat,monkey,kitten,turtle,frog,kookaburra,,,
dog,pig,kookaburra,monkey,cat,frog,sheep,,,
frog,monkey,cat,sheep,kookaburra,turtle,dog,,,
dog,sheep,pig,cat,monkey,kitten,turtle,,,
pig,frog,kitten,turtle,monkey,dog,kookaburra,,,
kookaburra,turtle,kitten,frog,dog,pig,sheep,,,
frog,sheep,cat,kitten,kookaburra,turtle,pig,,,
cat,dog,pig,monkey,sheep,turtle,kitten,,,
