0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
sheep,kookaburra,dog,kitten,turtle,cat,pig,frog,monkey,turtle,monkey,kitten,frog,pig,sheep,,,,,
dog,kitten,turtle,pig,kookaburra,sheep,cat,monkey,frog,frog,monkey,turtle,kitten,pig,kookaburra,,,,,
cat,turtle,kookaburra,kitten,sheep,pig,frog,monkey,dog,cat,pig,dog,kookaburra,frog,kitten,,,,,
frog,monkey,sheep,turtle,dog,pig,kitten,cat,kookaburra,dog,turtle,sheep,kookaburra,kitten,cat,,,,,
cat,kookaburra,dog,kitten,monkey,turtle,pig,sheep,frog,dog,monkey,pig,sheep,kookaburra,frog,,,,,
frog,cat,kitten,turtle,monkey,kookaburra,sheep,dog,pig,frog,sheep,turtle,kitten,monkey,cat,,,,,
kookaburra,monkey,cat,frog,sheep,turtle,pig,kitten,dog,dog,kookaburra,turtle,kitten,monkey,frog,,,,,
turtle,frog,pig,kitten,cat,monkey,sheep,dog,kookaburra,frog,dog,turtle,monkey,sheep,kookaburra,,,,,
kitten,frog,pig,kookaburra,turtle,dog,sheep,monkey,cat,turtle,cat,kookaburra,monkey,sheep,kitten,,,,,
monkey,turtle,frog,kookaburra,cat,pig,dog,sheep,kitten,sheep,dog,monkey,pig,kitten,kookaburra,,,,,
monkey,kitten,frog,turtle,pig,cat,dog,kookaburra,sheep,kookaburra,frog,sheep,monkey,pig,turtle,,,,,
cat,dog,pig,frog,kookaburra,kitten,sheep,monkey,turtle,turtle,dog,kitten,pig,frog,sheep,,,,,
pig,frog,kookaburra,kitten,monkey,sheep,cat,turtle,dog,cat,kookaburra,sheep,kitten,monkey,turtle,,,,,
cat,dog,kookaburra,kitten,frog,sheep,turtle,monkey,pig,kitten,turtle,cat,pig,monkey,frog,,,,,
frog,turtle,monkey,pig,cat,sheep,kitten,dog,kookaburra,kookaburra,cat,kitten,sheep,monkey,turtle,,,,,
pig,turtle,sheep,dog,kookaburra,kitten,frog,monkey,cat,frog,kookaburra,turtle,monkey,pig,dog,,,,,
pig,dog,sheep,monkey,kitten,kookaburra,turtle,frog,cat,cat,monkey,dog,turtle,kitten,frog,,,,,
pig,sheep,dog,frog,kitten,kookaburra,monkey,cat,turtle,kitten,dog,turtle,pig,frog,kookaburra,,,,,
frog,monkey,cat,turtle,kitten,sheep,pig,kookaburra,dog,frog,kookaburra,pig,sheep,dog,turtle,,,,,
kookaburra,pig,turtle,frog,cat,kitten,sheep,monkey,dog,monkey,kitten,kookaburra,turtle,sheep,dog,,,,,
