0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
monkey,pig,sheep,kookaburra,kitten,frog,dog,turtle,cat,cat,sheep,pig,dog,monkey,frog,,,,,
kitten,monkey,sheep,kookaburra,dog,cat,frog,turtle,pig,frog,monkey,kookaburra,kitten,sheep,pig,,,,,
frog,turtle,dog,monkey,cat,sheep,pig,kitten,kookaburra,cat,sheep,frog,monkey,kookaburra,kitten,,,,,
sheep,pig,kitten,frog,monkey,turtle,kookaburra,dog,cat,frog,kookaburra,kitten,turtle,dog,pig,,,,,
cat,pig,kookaburra,monkey,turtle,sheep,frog,kitten,dog,dog,kitten,cat,frog,turtle,sheep,,,,,
frog,cat,pig,kitten,turtle,sheep,dog,monkey,kookaburra,frog,kookaburra,dog,pig,cat,sheep,,,,,
kitten,dog,frog,monkey,turtle,sheep,pig,kookaburra,cat,dog,kitten,monkey,cat,pig,kookaburra,,,,,
pig,cat,frog,monkey,dog,sheep,turtle,kookaburra,kitten,cat,turtle,pig,kookaburra,sheep,monkey,,,,,
turtle,kitten,monkey,frog,kookaburra,pig,dog,sheep,cat,pig,sheep,kitten,monkey,kookaburra,dog,,,,,
frog,cat,kookaburra,sheep,monkey,pig,dog,turtle,kitten,turtle,frog,cat,monkey,kitten,sheep,,,,,
cat,turtle,dog,monkey,kitten,frog,sheep,kookaburra,pig,monkey,kookaburra,kitten,turtle,cat,sheep,,,,,
pig,kitten,dog,frog,kookaburra,cat,monkey,sheep,turtle,cat,pig,sheep,turtle,kookaburra,monkey,,,,,
frog,monkey,kitten,cat,dog,turtle,sheep,kookaburra,pig,pig,sheep,frog,kookaburra,cat,dog,,,,,
cat,monkey,frog,turtle,kookaburra,sheep,dog,kitten,pig,sheep,dog,turtle,monkey,kookaburra,kitten,,,,,
sheep,kitten,pig,cat,dog,kookaburra,monkey,frog,turtle,cat,turtle,sheep,pig,frog,kitten,,,,,
sheep,monkey,dog,turtle,kitten,frog,cat,pig,kookaburra,kitten,frog,monkey,dog,sheep,kookaburra,,,,,
dog,sheep,kookaburra,pig,kitten,turtle,monkey,cat,frog,monkey,pig,turtle,cat,frog,dog,,,,,
monkey,cat,dog,pig,turtle,kookaburra,kitten,frog,sheep,cat,frog,turtle,kookaburra,sheep,monkey,,,,,
frog,dog,monkey,cat,kookaburra,kitten,turtle,pig,sheep,frog,monkey,kitten,sheep,dog,cat,,,,,
monkey,kitten,kookaburra,sheep,pig,turtle,frog,dog,cat,frog,pig,monkey,dog,kitten,turtle,,,,,
