0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
dog,cat,sheep,kitten,frog,turtle,kookaburra,monkey,pig,sheep,dog,turtle,pig,frog,cat,,,,,
cat,sheep,frog,dog,pig,kookaburra,kitten,monkey,turtle,frog,kitten,turtle,pig,cat,monkey,,,,,
dog,sheep,turtle,monkey,cat,frog,kookaburra,kitten,pig,cat,dog,sheep,kitten,frog,turtle,,,,,
dog,frog,sheep,kitten,kookaburra,cat,pig,monkey,turtle,monkey,frog,pig,cat,kitten,dog,,,,,
cat,turtle,dog,pig,kitten,frog,kookaburra,monkey,sheep,cat,frog,turtle,sheep,kitten,dog,,,,,
pig,kookaburra,cat,turtle,frog,dog,kitten,monkey,sheep,dog,kitten,monkey,kookaburra,turtle,sheep,,,,,
pig,kitten,sheep,monkey,turtle,cat,dog,kookaburra,frog,dog,kookaburra,pig,sheep,turtle,kitten,,,,,
turtle,kitten,sheep,dog,monkey,cat,kookaburra,pig,frog,frog,sheep,kookaburra,pig,cat,turtle,,,,,
dog,cat,monkey,sheep,turtle,pig,frog,kookaburra,kitten,frog,kookaburra,pig,kitten,dog,turtle,,,,,
pig,frog,kitten,dog,monkey,cat,kookaburra,turtle,sheep,turtle,kookaburra,pig,kitten,sheep,frog,,,,,
pig,turtle,frog,cat,monkey,kookaburra,kitten,sheep,dog,kookaburra,monkey,sheep,turtle,cat,dog,,,,,
frog,cat,turtle,pig,monkey,kookaburra,dog,kitten,sheep,kitten,dog,kookaburra,pig,sheep,cat,,,,,
kookaburra,turtle,pig,cat,dog,monkey,sheep,frog,kitten,cat,kitten,kookaburra,dog,pig,sheep,,,,,
dog,sheep,pig,monkey,turtle,kookaburra,frog,kitten,cat,dog,kookaburra,turtle,kitten,pig,frog,,,,,
dog,kitten,frog,kookaburra,turtle,monkey,sheep,pig,cat,sheep,cat,dog,frog,kitten,pig,,,,,
monkey,kookaburra,cat,pig,frog,kitten,sheep,dog,turtle,pig,cat,kookaburra,monkey,sheep,dog,,,,,
kookaburra,kitten,monkey,dog,frog,sheep,pig,cat,turtle,turtle,monkey,cat,frog,kookaburra,pig,,,,,
turtle,dog,sheep,kitten,pig,frog,cat,monkey,kookaburra,frog,dog,sheep,monkey,pig,kookaburra,,,,,
cat,turtle,kitten,sheep,kookaburra,pig,monkey,frog,dog,kitten,monkey,kookaburra,pig,sheep,cat,,,,,
dog,kitten,pig,kookaburra,monkey,sheep,turtle,frog,cat,monkey,kitten,turtle,frog,kookaburra,cat,,,,,
