0,1,2,3,4,5,6,7,8,9
kitten,pig,cat,sheep,monkey,kookaburra,frog,,,
cat,kitten,dog,turtle,pig,frog,monkey,,,
kitten,cat,dog,pig,kookaburra,turtle,monkey,,,
kitten,cat,frog,dog,turtle,pig,monkey,,,
frog,turtle,kitten,monkey,cat,pig,sheep,,,
kitten,sheep,cat,monkey,kookaburra,turtle,frog,,,
kitten,frog,monkey,pig,cat,kookaburra,dog,,,
cat,kookaburra,monkey,turtle,frog,dog,pig,,,
pig,kitten,kookaburra,cat,sheep,turtle,dog,,,
dog,turtle,frog,kitten,sheep,kookaburra,pig,,,
dog,sheep,pig,monkey,frog,turtle,kookaburra,,,
cat,sheep,kitten,monkey,dog,turtle,kookaburra,,,
pig,frog,cat,sheep,turtle,kitten,dog,,,
dog,pig,kitten,turtle,monkey,sheep,kookaburra,,,
sheep,turtle,dog,kitten,pig,frog,kookaburra,,,
cat,kookaburra,pig,turtle,monkey,sheep,kitten,,,
kitten,frog,kookaburra,pig,sheep,monkey,dog,,,
kitten,kookaburra,cat,turtle,pig,frog,dog,,,
cat,kitten,sheep,turtle,monkey,dog,frog,,,
sheep,kookaburra,frog,cat,pig,dog,monkey,,,
