0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
monkey,sheep,turtle,dog,cat,kitten,pig,kookaburra,frog,pig,turtle,sheep,kitten,dog,kookaburra,,,,,
frog,sheep,turtle,monkey,cat,kitten,kookaburra,pig,dog,cat,frog,monkey,turtle,pig,sheep,,,,,
monkey,kookaburra,sheep,kitten,dog,pig,turtle,cat,frog,dog,kookaburra,monkey,cat,pig,turtle,,,,,
sheep,pig,cat,kookaburra,dog,monkey,frog,kitten,turtle,pig,sheep,kookaburra,cat,frog,kitten,,,,,
dog,turtle,kitten,pig,frog,monkey,kookaburra,cat,sheep,cat,monkey,kookaburra,kitten,frog,turtle,,,,,
frog,pig,kitten,turtle,sheep,dog,monkey,kookaburra,cat,kitten,kookaburra,pig,dog,monkey,sheep,,,,,
kookaburra,monkey,sheep,turtle,pig,frog,kitten,dog,cat,sheep,monkey,cat,turtle,dog,frog,,,,,
cat,pig,kitten,kookaburra,turtle,frog,sheep,monkey,dog,sheep,cat,dog,kookaburra,monkey,frog,,,,,
kookaburra,cat,pig,turtle,monkey,sheep,kitten,frog,dog,kitten,sheep,dog,cat,kookaburra,pig,,,,,
monkey,kookaburra,cat,kitten,turtle,pig,dog,sheep,frog,dog,frog,kitten,turtle,sheep,kookaburra,,,,,
sheep,kookaburra,kitten,cat,frog,dog,turtle,monkey,pig,kookaburra,monkey,sheep,cat,turtle,kitten,,,,,
turtle,sheep,monkey,kookaburra,kitten,dog,cat,frog,pig,kookaburra,turtle,monkey,kitten,dog,pig,,,,,
sheep,dog,kookaburra,pig,kitten,turtle,monkey,frog,cat,cat,dog,monkey,frog,pig,sheep,,,,,
kitten,monkey,frog,sheep,cat,turtle,dog,pig,kookaburra,monkey,frog,sheep,dog,cat,kitten,,,,,
turtle,kitten,monkey,dog,sheep,kookaburra,frog,cat,pig,cat,monkey,turtle,dog,kookaburra,frog,,,,,
pig,dog,monkey,sheep,turtle,kookaburra,cat,kitten,frog,kookaburra,turtle,cat,pig,frog,dog,,,,,
frog,pig,kookaburra,monkey,sheep,kitten,cat,turtle,dog,sheep,dog,kookaburra,kitten,frog,monkey,,,,,
kookaburra,dog,sheep,cat,kitten,monkey,frog,turtle,pig,turtle,sheep,monkey,kookaburra,pig,cat,,,,,
turtle,frog,dog,pig,sheep,kookaburra,kitten,cat,monkey,kitten,cat,frog,pig,dog,sheep,,,,,
kookaburra,pig,monkey,frog,cat,sheep,kitten,dog,turtle,sheep,dog,pig,monkey,cat,kookaburra,,,,,
