0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
turtle,kitten,kookaburra,frog,cat,monkey,sheep,pig,dog,kookaburra,turtle,sheep,cat,frog,monkey,,,,,
turtle,frog,sheep,dog,kookaburra,kitten,cat,pig,monkey,dog,cat,frog,kitten,turtle,kookaburra,,,,,
frog,monkey,kookaburra,sheep,turtle,pig,cat,kitten,dog,turtle,sheep,monkey,kookaburra,frog,cat,,,,,
kookaburra,turtle,frog,pig,kitten,sheep,cat,dog,monkey,cat,kookaburra,pig,monkey,turtle,kitten,,,,,
cat,kookaburra,kitten,pig,sheep,frog,turtle,monkey,dog,kookaburra,monkey,sheep,pig,kitten,dog,,,,,
frog,kookaburra,cat,monkey,kitten,dog,turtle,pig,sheep,dog,kookaburra,turtle,monkey,frog,cat,,,,,
kookaburra,kitten,dog,sheep,monkey,pig,frog,cat,turtle,turtle,kitten,monkey,kookaburra,pig,dog,,,,,
kookaburra,pig,monkey,cat,frog,turtle,dog,sheep,kitten,frog,pig,kookaburra,cat,kitten,turtle,,,,,
turtle,cat,monkey,dog,pig,frog,kookaburra,sheep,kitten,pig,kitten,kookaburra,turtle,dog,frog,,,,,
cat,pig,sheep,frog,kookaburra,monkey,dog,turtle,kitten,frog,monkey,kookaburra,pig,sheep,turtle,,,,,
cat,turtle,pig,kitten,kookaburra,monkey,dog,sheep,frog,dog,turtle,cat,sheep,monkey,pig,,,,,
pig,kitten,sheep,monkey,frog,cat,dog,kookaburra,turtle,kookaburra,dog,frog,monkey,pig,cat,,,,,
pig,kookaburra,cat,dog,turtle,sheep,kitten,monkey,frog,pig,kitten,monkey,turtle,kookaburra,dog,,,,,
turtle,kookaburra,frog,sheep,monkey,kitten,cat,dog,pig,sheep,frog,kookaburra,pig,kitten,monkey,,,,,
turtle,kookaburra,kitten,cat,dog,frog,sheep,pig,monkey,monkey,cat,dog,turtle,frog,sheep,,,,,
dog,pig,kookaburra,kitten,frog,monkey,cat,turtle,sheep,pig,sheep,kitten,cat,kookaburra,monkey,,,,,
dog,pig,kitten,kookaburra,turtle,monkey,cat,frog,sheep,sheep,turtle,kookaburra,cat,dog,monkey,,,,,
frog,monkey,kookaburra,kitten,turtle,cat,pig,sheep,dog,pig,cat,turtle,dog,frog,kitten,,,,,
monkey,frog,pig,sheep,dog,turtle,cat,kitten,kookaburra,pig,kookaburra,turtle,frog,dog,sheep,,,,,
dog,kookaburra,pig,frog,monkey,cat,sheep,turtle,kitten,monkey,turtle,dog,cat,pig,frog,,,,,
