0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
pig,kitten,kookaburra,cat,monkey,turtle,sheep,frog,dog,kitten,kookaburra,turtle,monkey,cat,frog,,,,,
pig,frog,sheep,monkey,kookaburra,dog,kitten,cat,turtle,kitten,sheep,pig,frog,monkey,cat,,,,,
sheep,cat,kookaburra,kitten,frog,turtle,dog,pig,monkey,pig,turtle,dog,frog,kitten,cat,,,,,
dog,kookaburra,pig,frog,cat,turtle,kitten,sheep,monkey,kitten,cat,sheep,kookaburra,monkey,dog,,,,,
dog,sheep,monkey,turtle,pig,kookaburra,kitten,frog,cat,frog,pig,sheep,turtle,kookaburra,monkey,,,,,
frog,sheep,pig,kitten,dog,turtle,monkey,cat,kookaburra,pig,turtle,sheep,kookaburra,monkey,kitten,,,,,
cat,sheep,kitten,monkey,kookaburra,turtle,frog,pig,dog,cat,kitten,monkey,turtle,dog,frog,,,,,
monkey,pig,kookaburra,turtle,frog,kitten,cat,dog,sheep,frog,monkey,kitten,cat,pig,sheep,,,,,
turtle,frog,monkey,sheep,kookaburra,pig,kitten,dog,cat,dog,frog,turtle,cat,kitten,monkey,,,,,
frog,monkey,cat,pig,turtle,kookaburra,sheep,dog,kitten,kookaburra,frog,kitten,monkey,cat,pig,,,,,
kookaburra,monkey,dog,sheep,turtle,cat,frog,pig,kitten,pig,frog,turtle,cat,monkey,dog,,,,,
kitten,frog,kookaburra,sheep,monkey,turtle,cat,dog,pig,cat,kitten,turtle,monkey,pig,sheep,,,,,
kookaburra,turtle,monkey,cat,frog,kitten,sheep,pig,dog,sheep,pig,kookaburra,cat,frog,dog,,,,,
dog,monkey,frog,kookaburra,turtle,pig,kitten,sheep,cat,kitten,dog,cat,turtle,monkey,frog,,,,,
frog,pig,cat,kookaburra,turtle,dog,kitten,sheep,monkey,pig,sheep,monkey,turtle,dog,cat,,,,,
frog,sheep,cat,dog,kitten,turtle,monkey,kookaburra,pig,sheep,turtle,cat,frog,kookaburra,monkey,,,,,
monkey,turtle,sheep,cat,kookaburra,dog,kitten,frog,pig,sheep,pig,monkey,kookaburra,cat,kitten,,,,,
monkey,pig,kookaburra,dog,frog,kitten,cat,turtle,sheep,kitten,frog,sheep,dog,turtle,monkey,,,,,
kookaburra,dog,monkey,kitten,cat,sheep,frog,pig,turtle,kookaburra,frog,dog,pig,cat,monkey,,,,,
dog,pig,turtle,frog,cat,kitten,kookaburra,sheep,monkey,turtle,dog,kitten,kookaburra,sheep,cat,,,,,
