0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
turtle,kookaburra,kitten,monkey,frog,cat,dog,pig,sheep,pig,kitten,kookaburra,cat,dog,monkey,,,,,
kookaburra,pig,dog,sheep,monkey,cat,turtle,frog,kitten,cat,frog,kitten,pig,turtle,sheep,,,,,
kitten,dog,turtle,cat,monkey,sheep,pig,frog,kookaburra,turtle,dog,kitten,sheep,frog,kookaburra,,,,,
cat,dog,kookaburra,sheep,frog,pig,kitten,turtle,monkey,sheep,frog,pig,monkey,kitten,turtle,,,,,
cat,frog,kookaburra,sheep,monkey,kitten,pig,turtle,dog,frog,dog,monkey,kitten,sheep,kookaburra,,,,,
kitten,cat,pig,sheep,dog,kookaburra,monkey,turtle,frog,kookaburra,frog,cat,kitten,sheep,monkey,,,,,
turtle,cat,pig,kookaburra,sheep,monkey,frog,dog,kitten,kookaburra,sheep,cat,monkey,pig,turtle,,,,,
monkey,frog,kookaburra,sheep,cat,kitten,pig,turtle,dog,turtle,cat,frog,kookaburra,dog,sheep,,,,,
pig,frog,kitten,dog,cat,sheep,turtle,monkey,kookaburra,turtle,cat,sheep,kitten,pig,monkey,,,,,
frog,dog,pig,monkey,turtle,sheep,cat,kookaburra,kitten,dog,turtle,pig,kookaburra,sheep,monkey,,,,,
cat,dog,monkey,kitten,sheep,pig,turtle,kookaburra,frog,kitten,turtle,cat,kookaburra,monkey,pig,,,,,
kitten,cat,monkey,turtle,pig,dog,frog,sheep,kookaburra,kitten,turtle,frog,pig,dog,kookaburra,,,,,
pig,monkey,turtle,sheep,cat,frog,kitten,kookaburra,dog,cat,monkey,kookaburra,kitten,sheep,pig,,,,,
monkey,kookaburra,dog,kitten,cat,turtle,pig,sheep,frog,cat,dog,kitten,sheep,frog,turtle,,,,,
turtle,pig,frog,kookaburra,sheep,kitten,dog,cat,monkey,turtle,cat,monkey,frog,sheep,dog,,,,,
pig,turtle,dog,kookaburra,monkey,sheep,frog,kitten,cat,monkey,pig,kitten,kookaburra,cat,dog,,,,,
pig,kitten,monkey,frog,kookaburra,cat,turtle,sheep,dog,dog,cat,monkey,turtle,kookaburra,sheep,,,,,
frog,kookaburra,pig,dog,sheep,cat,kitten,monkey,turtle,dog,frog,turtle,pig,monkey,kitten,,,,,
pig,frog,kitten,cat,sheep,kookaburra,monkey,dog,turtle,sheep,kitten,frog,turtle,pig,cat,,,,,
cat,turtle,pig,frog,kitten,kookaburra,sheep,dog,monkey,sheep,pig,turtle,dog,cat,kookaburra,,,,,
