0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
kookaburra,monkey,cat,dog,sheep,pig,frog,kitten,turtle,cat,turtle,dog,kookaburra,frog,monkey,,,,,
monkey,kookaburra,dog,frog,pig,sheep,cat,turtle,kitten,turtle,kookaburra,frog,cat,sheep,dog,,,,,
dog,monkey,pig,kitten,sheep,turtle,frog,cat,kookaburra,monkey,sheep,dog,kookaburra,turtle,kitten,,,,,
turtle,kitten,frog,sheep,dog,cat,pig,monkey,kookaburra,dog,sheep,pig,kitten,cat,monkey,,,,,
pig,kitten,cat,sheep,frog,monkey,turtle,dog,kookaburra,dog,kookaburra,pig,kitten,monkey,turtle,,,,,
sheep,kookaburra,monkey,frog,kitten,dog,turtle,pig,cat,kitten,pig,kookaburra,turtle,frog,cat,,,,,
kitten,turtle,pig,cat,kookaburra,sheep,frog,monkey,dog,frog,dog,cat,turtle,sheep,monkey,,,,,
cat,turtle,frog,dog,sheep,monkey,kookaburra,pig,kitten,sheep,monkey,turtle,kitten,dog,kookaburra,,,,,
frog,cat,monkey,kitten,pig,sheep,kookaburra,turtle,dog,frog,cat,pig,monkey,dog,turtle,,,,,
frog,pig,sheep,kitten,dog,cat,kookaburra,turtle,monkey,sheep,dog,cat,monkey,turtle,kitten,,,,,
pig,kitten,turtle,frog,dog,cat,sheep,kookaburra,monkey,turtle,cat,sheep,kitten,kookaburra,dog,,,,,
sheep,turtle,kitten,cat,monkey,kookaburra,dog,frog,pig,turtle,kookaburra,monkey,frog,pig,sheep,,,,,
turtle,frog,pig,sheep,kookaburra,cat,monkey,kitten,dog,turtle,dog,sheep,monkey,pig,kitten,,,,,
dog,kookaburra,pig,monkey,frog,kitten,cat,sheep,turtle,turtle,dog,pig,sheep,frog,cat,,,,,
monkey,cat,dog,kitten,sheep,kookaburra,frog,pig,turtle,sheep,dog,kitten,turtle,cat,kookaburra,,,,,
sheep,turtle,cat,kitten,dog,frog,pig,kookaburra,monkey,cat,turtle,kitten,frog,monkey,kookaburra,,,,,
turtle,kookaburra,cat,dog,sheep,frog,kitten,monkey,pig,frog,cat,pig,sheep,dog,kookaburra,,,,,
turtle,sheep,kitten,dog,kookaburra,frog,cat,monkey,pig,kitten,turtle,cat,frog,dog,kookaburra,,,,,
dog,sheep,cat,frog,monkey,kookaburra,pig,kitten,turtle,kitten,monkey,kookaburra,turtle,dog,cat,,,,,
turtle,cat,dog,pig,monkey,frog,kookaburra,sheep,kitten,sheep,dog,kookaburra,turtle,kitten,cat,,,,,
