0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
kookaburra,pig,cat,frog,dog,sheep,monkey,turtle,kitten,frog,cat,pig,sheep,dog,kitten,,,,,
dog,cat,frog,kookaburra,sheep,monkey,kitten,pig,turtle,monkey,frog,turtle,cat,pig,sheep,,,,,
pig,kitten,dog,sheep,cat,monkey,turtle,frog,kookaburra,turtle,kitten,frog,monkey,sheep,cat,,,,,
cat,kitten,frog,pig,dog,turtle,monkey,kookaburra,sheep,kookaburra,turtle,sheep,kitten,cat,frog,,,,,
kitten,turtle,dog,frog,monkey,kookaburra,sheep,pig,cat,pig,dog,sheep,frog,kitten,turtle,,,,,
kookaburra,sheep,frog,cat,kitten,dog,pig,monkey,turtle,kitten,sheep,kookaburra,turtle,frog,monkey,,,,,
frog,turtle,monkey,pig,dog,kitten,cat,sheep,kookaburra,kookaburra,frog,turtle,cat,monkey,sheep,,,,,
monkey,frog,kitten,turtle,sheep,cat,kookaburra,dog,pig,sheep,frog,pig,monkey,cat,kitten,,,,,
dog,turtle,kitten,sheep,cat,pig,frog,kookaburra,monkey,dog,monkey,cat,pig,kookaburra,kitten,,,,,
frog,pig,kookaburra,dog,monkey,kitten,sheep,turtle,cat,sheep,cat,kookaburra,frog,dog,monkey,,,,,
cat,kitten,frog,kookaburra,turtle,sheep,dog,monkey,pig,frog,dog,monkey,pig,cat,turtle,,,,,
turtle,kitten,sheep,cat,frog,kookaburra,dog,monkey,pig,pig,sheep,turtle,cat,kookaburra,monkey,,,,,
kitten,dog,turtle,frog,cat,kookaburra,monkey,sheep,pig,dog,turtle,sheep,pig,kookaburra,kitten,,,,,
turtle,dog,monkey,frog,kitten,cat,pig,sheep,kookaburra,sheep,dog,cat,kookaburra,pig,turtle,,,,,
kookaburra,turtle,frog,dog,kitten,cat,sheep,monkey,pig,frog,cat,turtle,sheep,pig,kitten,,,,,
cat,kookaburra,turtle,pig,kitten,monkey,frog,dog,sheep,turtle,cat,pig,kitten,sheep,frog,,,,,
sheep,kookaburra,cat,turtle,kitten,dog,pig,frog,monkey,turtle,kookaburra,pig,sheep,monkey,cat,,,,,
monkey,frog,pig,kookaburra,dog,cat,sheep,kitten,turtle,dog,kookaburra,sheep,kitten,monkey,frog,,,,,
frog,turtle,kitten,dog,kookaburra,cat,pig,sheep,monkey,sheep,dog,cat,kitten,pig,turtle,,,,,
dog,sheep,frog,monkey,kookaburra,kitten,cat,turtle,pig,frog,turtle,monkey,sheep,kitten,cat,,,,,
