0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
pig,cat,frog,turtle,kitten,monkey,sheep,kookaburra,dog,pig,frog,monkey,kitten,kookaburra,dog,,,,,
sheep,kitten,monkey,kookaburra,turtle,dog,cat,frog,pig,pig,dog,sheep,kitten,frog,kookaburra,,,,,
dog,turtle,sheep,kookaburra,pig,monkey,kitten,frog,cat,monkey,kitten,kookaburra,cat,dog,pig,,,,,
kookaburra,turtle,frog,dog,kitten,sheep,monkey,pig,cat,frog,sheep,monkey,pig,cat,kitten,,,,,
turtle,cat,pig,monkey,sheep,frog,dog,kitten,kookaburra,kitten,sheep,cat,monkey,frog,turtle,,,,,
monkey,cat,kookaburra,frog,dog,turtle,kitten,sheep,pig,sheep,cat,pig,frog,monkey,kitten,,,,,
kitten,cat,monkey,dog,pig,kookaburra,frog,turtle,sheep,sheep,frog,kitten,kookaburra,dog,monkey,,,,,
kitten,cat,sheep,frog,dog,kookaburra,monkey,pig,turtle,dog,turtle,cat,sheep,kookaburra,frog,,,,,
kookaburra,dog,sheep,monkey,turtle,pig,kitten,frog,cat,frog,turtle,dog,sheep,kitten,cat,,,,,
dog,monkey,sheep,kookaburra,cat,frog,turtle,pig,kitten,kookaburra,kitten,sheep,turtle,frog,pig,,,,,
kookaburra,pig,dog,monkey,sheep,kitten,frog,turtle,cat,dog,sheep,turtle,kookaburra,kitten,frog,,,,,
turtle,frog,pig,monkey,dog,sheep,cat,kitten,kookaburra,turtle,monkey,dog,kookaburra,kitten,cat,,,,,
turtle,cat,monkey,pig,frog,kookaburra,kitten,sheep,dog,kitten,kookaburra,pig,frog,sheep,dog,,,,,
sheep,turtle,kookaburra,dog,cat,monkey,pig,kitten,frog,frog,cat,turtle,kookaburra,sheep,pig,,,,,
turtle,cat,dog,frog,monkey,pig,sheep,kookaburra,kitten,frog,turtle,cat,kookaburra,monkey,kitten,,,,,
monkey,kitten,kookaburra,cat,frog,sheep,pig,dog,turtle,kookaburra,frog,dog,sheep,kitten,monkey,,,,,
frog,monkey,dog,kitten,sheep,turtle,cat,kookaburra,pig,frog,monkey,turtle,sheep,kitten,kookaburra,,,,,
pig,monkey,turtle,kitten,sheep,frog,dog,cat,kookaburra,turtle,kookaburra,cat,dog,kitten,frog,,,,,
frog,dog,pig,kitten,sheep,monkey,turtle,kookaburra,cat,kookaburra,pig,cat,turtle,dog,monkey,,,,,
frog,pig,cat,dog,monkey,kitten,turtle,kookaburra,sheep,kitten,monkey,dog,cat,sheep,pig,,,,,
