0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
turtle,frog,kitten,sheep,dog,cat,kookaburra,monkey,pig,cat,kitten,pig,monkey,frog,turtle,,,,,
cat,kookaburra,monkey,turtle,pig,dog,sheep,frog,kitten,kitten,monkey,kookaburra,frog,pig,cat,,,,,
frog,kitten,dog,cat,kookaburra,sheep,pig,turtle,monkey,kitten,pig,frog,turtle,dog,monkey,,,,,
pig,frog,cat,turtle,kookaburra,kitten,sheep,dog,monkey,kitten,kookaburra,dog,frog,pig,cat,,,,,
monkey,kitten,sheep,kookaburra,pig,frog,cat,turtle,dog,cat,kitten,frog,pig,turtle,kookaburra,,,,,
dog,cat,turtle,frog,sheep,kookaburra,kitten,monkey,pig,kitten,monkey,sheep,turtle,pig,dog,,,,,
pig,kitten,dog,cat,frog,kookaburra,turtle,monkey,sheep,dog,sheep,pig,frog,kitten,turtle,,,,,
kitten,pig,frog,kookaburra,turtle,cat,dog,monkey,sheep,kookaburra,sheep,monkey,frog,turtle,pig,,,,,
frog,kitten,dog,kookaburra,cat,turtle,pig,monkey,sheep,kitten,turtle,frog,kookaburra,dog,monkey,,,,,
sheep,pig,kitten,frog,cat,turtle,monkey,kookaburra,dog,monkey,frog,pig,sheep,kitten,dog,,,,,
pig,kookaburra,cat,turtle,sheep,kitten,dog,monkey,frog,dog,kookaburra,sheep,frog,kitten,monkey,,,,,
kitten,cat,dog,kookaburra,pig,sheep,monkey,turtle,frog,pig,kookaburra,kitten,turtle,sheep,frog,,,,,
monkey,frog,sheep,dog,kitten,pig,cat,kookaburra,turtle,kitten,cat,sheep,dog,monkey,pig,,,,,
dog,kitten,sheep,frog,cat,monkey,kookaburra,pig,turtle,dog,kitten,frog,kookaburra,pig,sheep,,,,,
monkey,pig,kookaburra,turtle,dog,frog,sheep,cat,kitten,pig,kitten,turtle,dog,kookaburra,monkey,,,,,
sheep,frog,kookaburra,cat,kitten,dog,pig,turtle,monkey,cat,dog,kitten,pig,turtle,kookaburra,,,,,
dog,kitten,cat,frog,monkey,sheep,kookaburra,pig,turtle,dog,frog,sheep,kookaburra,cat,turtle,,,,,
frog,monkey,cat,pig,kitten,turtle,kookaburra,sheep,dog,sheep,turtle,kitten,pig,cat,monkey,,,,,
dog,turtle,pig,sheep,cat,kookaburra,kitten,monkey,frog,kookaburra,dog,pig,turtle,kitten,sheep,,,,,
kookaburra,dog,frog,cat,pig,monkey,turtle,kitten,sheep,pig,monkey,kitten,cat,sheep,dog,,,,,
