0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
cat,monkey,turtle,frog,sheep,pig,kitten,dog,kookaburra,cat,monkey,dog,sheep,kookaburra,turtle,,,,,
pig,sheep,frog,kitten,monkey,kookaburra,turtle,dog,cat,monkey,sheep,dog,kookaburra,cat,frog,,,,,
pig,dog,frog,sheep,kookaburra,cat,turtle,monkey,kitten,monkey,pig,cat,sheep,dog,kitten,,,,,
pig,turtle,frog,dog,monkey,sheep,kitten,kookaburra,cat,cat,turtle,kitten,pig,kookaburra,dog,,,,,
cat,kitten,frog,dog,turtle,kookaburra,monkey,sheep,pig,pig,sheep,dog,turtle,cat,kitten,,,,,
kookaburra,dog,cat,sheep,turtle,frog,monkey,pig,kitten,frog,turtle,kookaburra,dog,sheep,kitten,,,,,
kookaburra,monkey,dog,frog,sheep,kitten,cat,turtle,pig,pig,turtle,cat,kookaburra,sheep,frog,,,,,
cat,kookaburra,kitten,dog,sheep,frog,pig,monkey,turtle,kookaburra,pig,cat,monkey,kitten,frog,,,,,
kitten,sheep,kookaburra,dog,frog,monkey,turtle,cat,pig,kitten,turtle,kookaburra,frog,cat,dog,,,,,
dog,frog,turtle,pig,cat,kitten,monkey,sheep,kookaburra,dog,kitten,turtle,sheep,pig,monkey,,,,,
cat,kookaburra,pig,monkey,turtle,dog,sheep,frog,kitten,monkey,kitten,kookaburra,frog,turtle,pig,,,,,
kitten,turtle,frog,monkey,cat,pig,dog,sheep,kookaburra,cat,frog,kookaburra,sheep,kitten,dog,,,,,
turtle,cat,dog,pig,kookaburra,kitten,sheep,frog,monkey,kitten,pig,sheep,kookaburra,monkey,dog,,,,,
sheep,kitten,dog,kookaburra,frog,pig,cat,monkey,turtle,sheep,dog,kitten,pig,frog,kookaburra,,,,,
kitten,dog,kookaburra,cat,pig,turtle,monkey,frog,sheep,turtle,pig,frog,kookaburra,sheep,cat,,,,,
kitten,pig,monkey,sheep,cat,frog,turtle,dog,kookaburra,monkey,frog,sheep,dog,cat,turtle,,,,,
pig,cat,kitten,sheep,dog,kookaburra,frog,turtle,monkey,cat,kitten,turtle,pig,dog,sheep,,,,,
frog,kitten,kookaburra,dog,turtle,pig,cat,monkey,sheep,turtle,kookaburra,frog,dog,sheep,cat,,,,,
turtle,kitten,monkey,sheep,pig,frog,cat,dog,kookaburra,pig,cat,monkey,sheep,turtle,kitten,,,,,
dog,sheep,kookaburra,frog,turtle,cat,monkey,pig,kitten,turtle,cat,kookaburra,kitten,monkey,sheep,,,,,
