0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
monkey,dog,turtle,kookaburra,sheep,kitten,pig,cat,frog,sheep,monkey,dog,frog,kitten,turtle,,,,,
frog,dog,kookaburra,monkey,sheep,cat,kitten,turtle,pig,turtle,dog,cat,sheep,kookaburra,pig,,,,,
kookaburra,pig,frog,turtle,cat,kitten,sheep,dog,monkey,turtle,sheep,dog,pig,kitten,kookaburra,,,,,
kookaburra,kitten,dog,pig,monkey,cat,frog,sheep,turtle,monkey,cat,sheep,frog,pig,kookaburra,,,,,
frog,cat,monkey,turtle,sheep,kookaburra,dog,pig,kitten,frog,turtle,sheep,kitten,dog,monkey,,,,,
pig,monkey,dog,kookaburra,kitten,frog,cat,sheep,turtle,sheep,pig,kookaburra,frog,cat,monkey,,,,,
kitten,frog,sheep,pig,turtle,cat,monkey,dog,kookaburra,monkey,kitten,sheep,dog,cat,kookaburra,,,,,
kookaburra,turtle,sheep,frog,kitten,cat,dog,monkey,pig,monkey,frog,pig,dog,turtle,kitten,,,,,
kitten,monkey,dog,cat,turtle,frog,kookaburra,sheep,pig,kookaburra,sheep,pig,cat,dog,kitten,,,,,
kookaburra,monkey,dog,cat,sheep,pig,frog,kitten,turtle,kitten,pig,monkey,kookaburra,turtle,sheep,,,,,
kitten,dog,kookaburra,sheep,cat,monkey,pig,turtle,frog,monkey,turtle,frog,kitten,kookaburra,dog,,,,,
turtle,kitten,dog,frog,monkey,pig,sheep,cat,kookaburra,kookaburra,kitten,monkey,dog,pig,turtle,,,,,
monkey,cat,pig,dog,frog,turtle,kitten,sheep,kookaburra,cat,frog,monkey,kookaburra,sheep,kitten,,,,,
kookaburra,kitten,dog,pig,monkey,sheep,turtle,frog,cat,dog,kookaburra,cat,frog,monkey,pig,,,,,
dog,sheep,kookaburra,monkey,pig,kitten,turtle,cat,frog,pig,sheep,monkey,kookaburra,dog,turtle,,,,,
turtle,kookaburra,dog,cat,pig,frog,kitten,sheep,monkey,kitten,monkey,dog,frog,sheep,turtle,,,,,
dog,monkey,cat,pig,kitten,kookaburra,frog,turtle,sheep,kitten,dog,monkey,pig,sheep,cat,,,,,
kookaburra,frog,monkey,dog,sheep,cat,pig,turtle,kitten,kitten,cat,monkey,frog,turtle,dog,,,,,
pig,kookaburra,turtle,kitten,cat,frog,monkey,dog,sheep,dog,kitten,frog,turtle,pig,cat,,,,,
sheep,turtle,cat,kitten,dog,frog,pig,monkey,kookaburra,sheep,pig,frog,turtle,dog,kitten,,,,,
