0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
monkey,kitten,dog,frog,kookaburra,turtle,sheep,pig,cat,kitten,sheep,monkey,pig,kookaburra,cat,,,,,
frog,turtle,dog,pig,kookaburra,sheep,monkey,cat,kitten,frog,cat,monkey,sheep,turtle,kitten,,,,,
kookaburra,kitten,dog,turtle,cat,pig,frog,monkey,sheep,kitten,pig,sheep,cat,kookaburra,frog,,,,,
pig,cat,kitten,kookaburra,sheep,monkey,dog,frog,turtle,dog,sheep,turtle,pig,frog,cat,,,,,
sheep,dog,turtle,cat,pig,frog,monkey,kookaburra,kitten,frog,kookaburra,monkey,dog,cat,turtle,,,,,
kookaburra,pig,dog,frog,cat,turtle,sheep,kitten,monkey,dog,kitten,frog,pig,monkey,cat,,,,,
pig,kitten,sheep,dog,frog,cat,kookaburra,monkey,turtle,pig,kitten,monkey,kookaburra,sheep,frog,,,,,
cat,kookaburra,turtle,pig,monkey,dog,frog,sheep,kitten,pig,frog,sheep,dog,kookaburra,kitten,,,,,
cat,kitten,turtle,kookaburra,dog,sheep,frog,monkey,pig,frog,turtle,kitten,monkey,pig,kookaburra,,,,,
cat,frog,turtle,monkey,pig,kitten,sheep,dog,kookaburra,sheep,kookaburra,monkey,frog,pig,turtle,,,,,
pig,frog,kookaburra,kitten,sheep,monkey,cat,turtle,dog,kitten,turtle,frog,monkey,kookaburra,dog,,,,,
dog,monkey,kookaburra,kitten,pig,turtle,frog,cat,sheep,turtle,dog,monkey,cat,kookaburra,pig,,,,,
cat,pig,turtle,dog,frog,monkey,sheep,kitten,kookaburra,pig,monkey,cat,kitten,kookaburra,frog,,,,,
monkey,kookaburra,turtle,cat,dog,pig,sheep,kitten,frog,kitten,turtle,frog,sheep,cat,kookaburra,,,,,
cat,kookaburra,turtle,pig,dog,frog,sheep,kitten,monkey,frog,kitten,dog,kookaburra,monkey,sheep,,,,,
frog,kitten,pig,cat,turtle,kookaburra,monkey,dog,sheep,pig,cat,sheep,dog,frog,turtle,,,,,
frog,kitten,sheep,turtle,pig,monkey,cat,kookaburra,dog,pig,frog,cat,kitten,sheep,turtle,,,,,
turtle,monkey,kookaburra,cat,frog,pig,kitten,dog,sheep,kookaburra,sheep,turtle,monkey,frog,dog,,,,,
kitten,kookaburra,frog,turtle,sheep,monkey,dog,pig,cat,frog,monkey,dog,kookaburra,turtle,cat,,,,,
turtle,kookaburra,cat,kitten,frog,sheep,monkey,dog,pig,frog,dog,kookaburra,kitten,sheep,turtle,,,,,
