0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
kookaburra,cat,dog,pig,sheep,monkey,kitten,turtle,frog,monkey,kitten,sheep,dog,kookaburra,cat,,,,,
kookaburra,cat,monkey,dog,frog,pig,turtle,kitten,sheep,kitten,kookaburra,monkey,turtle,cat,sheep,,,,,
cat,kitten,frog,sheep,pig,monkey,kookaburra,turtle,dog,frog,monkey,kookaburra,turtle,cat,sheep,,,,,
frog,kitten,dog,sheep,pig,turtle,monkey,cat,kookaburra,monkey,turtle,dog,kookaburra,cat,pig,,,,,
cat,dog,turtle,kookaburra,pig,monkey,kitten,frog,sheep,pig,sheep,turtle,kitten,cat,frog,,,,,
kookaburra,turtle,dog,kitten,monkey,pig,cat,sheep,frog,cat,monkey,dog,frog,kookaburra,sheep,,,,,
kitten,turtle,sheep,frog,cat,kookaburra,monkey,dog,pig,dog,frog,sheep,turtle,cat,pig,,,,,
frog,monkey,sheep,cat,pig,kitten,kookaburra,turtle,dog,kitten,kookaburra,turtle,cat,monkey,frog,,,,,
kookaburra,frog,pig,cat,turtle,dog,sheep,monkey,kitten,pig,sheep,frog,kookaburra,monkey,kitten,,,,,
pig,dog,frog,kitten,monkey,turtle,cat,kookaburra,sheep,cat,turtle,kookaburra,sheep,pig,kitten,,,,,
cat,monkey,pig,turtle,kitten,dog,kookaburra,frog,sheep,sheep,kitten,pig,kookaburra,turtle,frog,,,,,
monkey,pig,kitten,frog,dog,cat,kookaburra,turtle,sheep,dog,cat,monkey,sheep,kitten,pig,,,,,
dog,pig,kookaburra,sheep,frog,kitten,turtle,cat,monkey,cat,monkey,kookaburra,kitten,frog,sheep,,,,,
cat,kookaburra,monkey,dog,kitten,pig,sheep,turtle,frog,frog,sheep,turtle,monkey,pig,kookaburra,,,,,
frog,turtle,kitten,kookaburra,dog,monkey,cat,pig,sheep,kookaburra,kitten,turtle,sheep,cat,dog,,,,,
turtle,sheep,frog,pig,kookaburra,dog,kitten,cat,monkey,monkey,frog,sheep,turtle,pig,cat,,,,,
kookaburra,cat,dog,turtle,pig,sheep,monkey,frog,kitten,kookaburra,dog,turtle,pig,kitten,sheep,,,,,
sheep,dog,monkey,cat,pig,kitten,kookaburra,turtle,frog,kitten,monkey,kookaburra,frog,dog,cat,,,,,
monkey,sheep,turtle,kitten,kookaburra,frog,pig,dog,cat,cat,pig,kitten,monkey,dog,frog,,,,,
dog,pig,kookaburra,kitten,frog,cat,sheep,monkey,turtle,sheep,frog,dog,cat,turtle,pig,,,,,
