0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
pig,cat,sheep,frog,dog,monkey,kitten,turtle,kookaburra,dog,monkey,kitten,cat,turtle,kookaburra,,,,,
monkey,dog,pig,turtle,sheep,kitten,kookaburra,frog,cat,dog,cat,turtle,kookaburra,pig,sheep,,,,,
kitten,dog,kookaburra,turtle,frog,cat,pig,monkey,sheep,kookaburra,turtle,cat,kitten,frog,dog,,,,,
dog,cat,kitten,kookaburra,frog,turtle,sheep,pig,monkey,sheep,turtle,kitten,frog,monkey,pig,,,,,
pig,dog,monkey,sheep,turtle,frog,kookaburra,kitten,cat,dog,kookaburra,kitten,frog,turtle,monkey,,,,,
kookaburra,dog,kitten,sheep,turtle,monkey,cat,pig,frog,kookaburra,turtle,frog,sheep,kitten,monkey,,,,,
kookaburra,sheep,turtle,monkey,pig,kitten,frog,cat,dog,dog,frog,kitten,sheep,turtle,pig,,,,,
cat,kitten,turtle,sheep,frog,pig,dog,monkey,kookaburra,turtle,sheep,dog,frog,pig,kookaburra,,,,,
dog,cat,frog,monkey,pig,turtle,sheep,kitten,kookaburra,cat,frog,pig,sheep,monkey,kookaburra,,,,,
dog,monkey,kookaburra,cat,turtle,sheep,frog,kitten,pig,pig,frog,cat,kitten,dog,turtle,,,,,
turtle,kitten,frog,pig,dog,cat,monkey,sheep,kookaburra,pig,sheep,frog,monkey,kookaburra,kitten,,,,,
pig,sheep,frog,turtle,cat,monkey,kookaburra,kitten,dog,turtle,dog,kookaburra,pig,frog,sheep,,,,,
kitten,sheep,pig,monkey,cat,frog,dog,kookaburra,turtle,frog,monkey,kookaburra,dog,sheep,kitten,,,,,
pig,kookaburra,cat,turtle,kitten,sheep,frog,monkey,dog,kitten,pig,turtle,sheep,frog,dog,,,,,
dog,monkey,sheep,kookaburra,turtle,cat,pig,kitten,frog,sheep,frog,monkey,kookaburra,turtle,pig,,,,,
kookaburra,kitten,monkey,turtle,sheep,frog,dog,cat,pig,kookaburra,sheep,turtle,kitten,pig,monkey,,,,,
dog,monkey,cat,kitten,frog,pig,kookaburra,turtle,sheep,turtle,monkey,cat,dog,kookaburra,frog,,,,,
cat,turtle,pig,monkey,kookaburra,dog,sheep,kitten,frog,kitten,monkey,turtle,cat,frog,sheep,,,,,
pig,kookaburra,sheep,kitten,dog,monkey,turtle,cat,frog,pig,turtle,sheep,dog,cat,frog,,,,,
pig,kookaburra,monkey,frog,cat,dog,kitten,sheep,turtle,turtle,cat,dog,kookaburra,kitten,sheep,,,,,
