0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
sheep,kitten,monkey,pig,turtle,kookaburra,cat,frog,dog,frog,monkey,turtle,kitten,sheep,dog,,,,,
turtle,sheep,cat,pig,frog,kookaburra,monkey,dog,kitten,dog,pig,frog,turtle,sheep,kookaburra,,,,,
monkey,kitten,cat,kookaburra,pig,frog,turtle,sheep,dog,frog,sheep,cat,pig,monkey,dog,,,,,
turtle,dog,sheep,monkey,frog,kookaburra,cat,pig,kitten,turtle,sheep,kookaburra,kitten,pig,dog,,,,,
dog,kitten,cat,frog,monkey,kookaburra,turtle,pig,sheep,kitten,turtle,frog,sheep,dog,cat,,,,,
turtle,cat,kitten,pig,monkey,dog,kookaburra,sheep,frog,pig,kookaburra,kitten,turtle,cat,monkey,,,,,
kitten,dog,cat,turtle,kookaburra,sheep,pig,frog,monkey,kitten,turtle,monkey,pig,kookaburra,sheep,,,,,
kookaburra,monkey,frog,kitten,turtle,dog,pig,sheep,cat,sheep,dog,turtle,kookaburra,pig,cat,,,,,
sheep,kookaburra,frog,cat,pig,turtle,kitten,monkey,dog,monkey,pig,kookaburra,cat,dog,frog,,,,,
kitten,kookaburra,monkey,pig,cat,sheep,dog,frog,turtle,pig,monkey,kookaburra,dog,turtle,frog,,,,,
kookaburra,sheep,monkey,kitten,frog,pig,cat,turtle,dog,turtle,dog,kookaburra,pig,cat,sheep,,,,,
pig,sheep,kitten,frog,dog,monkey,kookaburra,turtle,cat,kookaburra,kitten,frog,monkey,dog,pig,,,,,
kookaburra,cat,frog,turtle,sheep,kitten,pig,dog,monkey,kitten,monkey,turtle,frog,dog,pig,,,,,
kookaburra,frog,dog,kitten,sheep,pig,cat,turtle,monkey,monkey,dog,kitten,turtle,sheep,frog,,,,,
turtle,pig,monkey,dog,frog,kitten,sheep,cat,kookaburra,pig,kitten,turtle,sheep,monkey,dog,,,,,
monkey,sheep,frog,dog,kookaburra,turtle,kitten,pig,cat,cat,dog,sheep,turtle,frog,pig,,,,,
dog,pig,turtle,kitten,monkey,frog,cat,sheep,kookaburra,kookaburra,kitten,dog,pig,sheep,monkey,,,,,
cat,kookaburra,pig,monkey,sheep,turtle,frog,dog,kitten,dog,sheep,turtle,kookaburra,kitten,cat,,,,,
cat,monkey,sheep,turtle,kookaburra,pig,frog,dog,kitten,kitten,kookaburra,cat,monkey,sheep,dog,,,,,
sheep,monkey,kitten,turtle,cat,dog,pig,kookaburra,frog,pig,kookaburra,sheep,turtle,monkey,frog,,,,,
